chat_id_1,chat_id_2,similarity,date_diff
173,179,0.9800775702949309,1 days 05:05:28
173,187,0.9761459462247988,6 days 02:08:37
175,183,0.9716979615312763,1 days 18:18:38
181,219,0.9698482782559603,6 days 09:07:49
1735,1751,0.9670936142650408,0 days 07:17:44
1751,1735,0.9670936142650408,0 days 07:18:18
1751,1735,0.9643449484503716,6 days 20:41:33
1934,1730,0.9641478301231151,3 days 02:59:48
101,173,0.9604574273515849,2 days 23:00:16
101,173,0.9604574273515849,3 days 06:45:19
101,173,0.9604574273515849,1 days 10:00:15
101,173,0.9604574273515849,2 days 12:00:15
173,101,0.9604224780709253,0 days 09:59:15
101,173,0.9604224780709253,2 days 05:01:39
114,101,0.9602621633464558,1 days 19:55:49
114,101,0.9602621633464558,1 days 06:55:08
101,114,0.9602621633464558,6 days 12:56:39
173,101,0.9602621633464558,0 days 01:25:33
101,173,0.9602621633464558,5 days 10:29:27
101,173,0.9602621633464558,6 days 11:41:55
101,114,0.9602621633464558,3 days 12:04:35
101,173,0.9602621633464558,6 days 11:50:24
101,173,0.9602621633464558,3 days 10:49:51
101,173,0.9602621633464558,6 days 03:14:57
101,173,0.9602621633464558,3 days 02:14:24
101,114,0.9602621633464558,6 days 13:05:08
114,101,0.9602621633464558,0 days 17:10:51
101,173,0.9602621633464558,5 days 19:04:54
173,101,0.9602621633464558,0 days 10:01:00
101,114,0.9602621633464558,5 days 20:19:38
101,173,0.9602621633464558,4 days 19:04:27
101,114,0.9602621633464558,4 days 20:19:11
173,101,0.9602621633464558,1 days 21:10:33
173,101,0.9602621633464558,1 days 08:09:52
173,101,0.9602621633464558,4 days 17:09:36
173,101,0.9602621633464558,0 days 18:25:35
173,101,0.9602621633464558,6 days 19:30:03
101,173,0.9602621633464558,4 days 10:29:00
173,101,0.9602621633464558,5 days 01:45:03
173,101,0.9602621633464558,6 days 10:54:36
173,101,0.9602621633464558,2 days 05:46:00
114,101,0.9602621633464558,0 days 00:10:49
173,101,0.9602621633464558,1 days 16:45:19
173,101,0.9602621633464558,1 days 03:01:02
114,101,0.9602621633464558,6 days 09:39:52
101,173,0.9602621633464558,6 days 03:06:28
101,173,0.9602621633464558,2 days 05:14:00
101,173,0.9602621633464558,1 days 16:14:33
101,173,0.9602621633464558,0 days 09:14:39
101,114,0.9602621633464558,0 days 19:04:50
101,114,0.9602621633464558,2 days 15:04:11
101,173,0.9602621633464558,1 days 08:49:27
101,114,0.9602621633464558,2 days 02:04:44
114,101,0.9602621633464558,4 days 15:54:52
101,173,0.9602621633464558,2 days 00:50:00
101,173,0.9602621633464558,1 days 00:14:00
101,173,0.9602621633464558,2 days 13:49:27
101,173,0.9602621633464558,0 days 17:50:06
101,114,0.9602621633464558,1 days 10:04:11
3389,177,0.9584205923880155,3 days 22:31:24
182,206,0.9580130365941784,5 days 13:02:44
182,206,0.9568901530435612,2 days 16:55:47
2078,78,0.953535029480268,1 days 00:00:51
101,219,0.9530266232275909,6 days 13:27:11
173,101,0.9530266232275909,1 days 08:31:34
101,173,0.9530266232275909,6 days 13:40:42
101,173,0.9530266232275909,2 days 00:56:22
101,219,0.9530266232275909,3 days 20:26:42
101,173,0.9530266232275909,3 days 20:40:13
101,219,0.9530266232275909,1 days 09:30:59
219,101,0.9530266232275909,1 days 08:45:05
101,219,0.9530266232275909,0 days 05:35:08
101,219,0.9530266232275909,2 days 00:42:51
219,101,0.9530266232275909,2 days 08:36:53
173,101,0.9530266232275909,2 days 08:23:22
101,173,0.9530266232275909,1 days 09:44:30
101,173,0.9530266232275909,0 days 21:36:39
101,173,0.9530266232275909,0 days 05:48:39
101,173,0.9530266232275909,0 days 12:47:45
101,219,0.9530266232275909,0 days 21:23:08
101,219,0.9530266232275909,2 days 09:54:50
101,219,0.9530266232275909,3 days 03:06:46
101,173,0.9530266232275909,3 days 03:20:17
101,173,0.9530266232275909,4 days 15:48:35
101,173,0.9530266232275909,2 days 10:08:21
101,219,0.9530266232275909,4 days 15:35:04
101,219,0.9530266232275909,5 days 23:03:05
101,173,0.9530266232275909,5 days 23:16:36
101,219,0.9530266232275909,6 days 23:10:40
101,173,0.9530266232275909,6 days 23:24:11
101,219,0.9530266232275909,0 days 12:34:14
101,173,0.9528884694431077,3 days 16:45:21
173,101,0.9528884694431077,5 days 16:29:41
101,173,0.9528884694431077,4 days 11:00:15
101,173,0.9528884694431077,4 days 19:30:17
173,101,0.9528884694431077,5 days 05:44:36
173,101,0.9528884694431077,6 days 16:44:38
101,173,0.9528884694431077,6 days 20:24:15
101,173,0.9528884694431077,6 days 03:24:13
101,173,0.9528884694431077,0 days 10:55:12
173,101,0.9528884694431077,0 days 10:04:49
101,173,0.9528884694431077,6 days 17:15:22
173,101,0.9528884694431077,1 days 00:34:47
101,173,0.9528884694431077,5 days 13:39:56
173,101,0.9528884694431077,5 days 08:19:52
173,101,0.9528884694431077,6 days 03:49:54
173,101,0.9528884694431077,6 days 23:04:47
